e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
62,32,35,42,30.8058436,31,47,55,67,480,28,73,64,95,792
62,32,34,43,31.32091953,29,46,55,68,572,28,73,64,95,792
31,71,40,30,41.23105626,29,43,61,70,864,29,75,66,97,814
31,70,38,34,39.20459157,34,50,67,77,891,29,75,66,97,814
31,70,38,34,39.20459157,29,56,60,82,806,29,75,66,97,814
33,66,40,32,33.95585369,31,45,58,67,594,29,75,66,97,814
30,64,38,32,34.525353,28,45,57,69,696,29,75,66,97,814
33,68,37,34,35.12833614,36,49,67,74,775,29,75,66,97,814
33,68,37,34,35.12833614,36,49,67,74,775,29,75,66,97,814
32,67,35,37,35.05709629,33,53,71,85,1216,39,68,67,85,476
32,69,39,35,37.21558813,33,50,67,79,986,36,79,67,98,589
33,66,39,34,33.37663854,36,47,61,68,525,36,79,67,98,589
31,69,39,37,38.05259518,34,49,66,75,832,36,79,67,98,589
67,33,35,36,34.0147027,36,47,65,71,696,30,71,71,95,984
30,68,38,35,38.11823711,32,51,65,78,891,33,79,64,97,558
30,67,39,36,37.12142239,32,49,65,76,891,31,74,67,95,756
32,68,39,37,36.05551275,34,51,65,76,775,31,72,69,95,874
32,68,39,37,36.05551275,33,50,64,76,806,29,70,69,94,960
32,68,39,37,36.05551275,34,49,63,73,696,29,70,69,94,960
32,67,39,37,35.05709629,33,50,66,77,891,33,76,66,96,660
70,32,38,35,38.11823711,33,50,66,77,891,38,70,66,87,476
31,65,38,40,34.05877273,34,49,66,76,864,27,70,70,96,1118
28,66,38,40,38.05259518,33,49,67,77,952,32,80,62,98,540
27,66,37,40,39.11521443,32,50,67,79,1015,31,83,57,99,416
29,64,37,38,35.0142828,29,50,64,79,1015,27,77,59,96,608
29,64,37,38,35.0142828,37,49,66,73,696,34,71,66,90,608
29,64,37,38,35.0142828,36,53,62,74,546,22,70,67,97,1215
65,29,36,32,36.22154055,26,52,57,77,775,33,79,63,97,540
35,71,37,38,36.01388621,32,50,70,81,1178,28,73,69,97,984
32,71,35,39,39.20459157,32,50,70,81,1178,26,72,69,98,1118
33,75,36,39,42.10700654,32,51,73,85,1394,26,72,69,98,1118
33,66,37,42,33.37663854,27,51,64,81,1110,26,72,69,98,1118
32,67,35,37,35.05709629,32,52,70,84,1216,26,72,69,98,1118
34,68,36,39,34.13209633,34,50,68,78,952,26,68,73,96,1316
33,66,36,38,33.06055051,34,50,68,78,952,34,81,63,98,493
33,67,37,39,34.05877273,31,52,70,85,1287,34,81,63,98,493
